subject,body,label,spf_pass,dkim_pass,dmarc_pass,sender_domain_match
Your account has been compromised,Dear Customer We have detected suspicious activity on your account. Your account has been temporarily locked for security reasons. Please click the link below to verify your identity and restore access immediately. Failure to do so within 24 hours will result in permanent account closure.,1,0,0,0,0
URGENT: Password Reset Required,Your password will expire in 2 hours. You must reset your password immediately to avoid losing access to your account. Click here to reset your credentials now.,1,0,0,0,0
You have Won $1000000!,Congratulations! You have been selected as the winner of our international lottery. To claim your prize of $1000000 please provide your bank details and social security number. Reply immediately!,1,0,0,0,0
Verify Your PayPal Account,Dear PayPal User We noticed unusual sign-in activity on your account. Please verify your information by clicking the link below or your account will be suspended within 24 hours.,1,0,0,0,0
Apple ID Locked - Action Required,Your Apple ID has been locked due to suspicious activity. To unlock your account verify your identity immediately by clicking the secure link provided.,1,0,0,0,0
Netflix Payment Failed,Your Netflix subscription payment has failed. Update your payment information within 24 hours or your account will be cancelled permanently.,1,0,1,0,0
Amazon Order Confirmation,Your order for iPhone 15 Pro ($1299) has been shipped. If you did not make this purchase click here immediately to cancel and get a refund.,1,1,0,0,0
IRS Tax Refund Notification,You are eligible for a tax refund of $3247.00. To receive your refund please verify your social security number and banking information immediately.,1,0,0,0,0
Microsoft Account Suspended,Your Microsoft account has been suspended due to violation of terms of service. Appeal within 48 hours or your data will be permanently deleted.,1,0,0,0,0
Bank of America Security Alert,We detected unauthorized access to your Bank of America account. Please verify your account immediately by clicking below or it will be frozen.,1,0,0,0,0
Google Account Recovery,Someone is trying to access your Google account from an unknown location. Secure your account now by verifying your identity with the link provided.,1,0,0,0,0
WhatsApp Verification Code,Your WhatsApp verification code is 847291. If you did not request this code your account may be compromised. Secure it now by clicking here.,1,0,0,0,0
Instagram Password Reset,A password reset was requested for your Instagram account. If this was not you your account is at risk. Click to secure your account now.,1,0,0,0,0
LinkedIn Profile Viewed by CEO,A CEO at a Fortune 500 company viewed your profile 5 times. Upgrade to Premium now to see who is interested in you professionally.,1,1,0,0,0
Dropbox Storage Full - Upgrade Now,Your Dropbox is 99% full. Files will be automatically deleted in 24 hours unless you upgrade your storage plan immediately.,1,0,0,0,0
Chase Bank Fraud Alert,Suspicious transaction detected: $4500 withdrawal from unknown ATM. If this was unauthorized click immediately to block your card.,1,0,0,0,0
Facebook Account Disabled,Your Facebook account has been disabled for violating community standards. You have 24 hours to submit an appeal or your account will be permanently deleted.,1,0,0,0,0
DHL Package Delivery Failed,Your package could not be delivered due to incomplete address. Pay the $2.99 redelivery fee to reschedule delivery within 48 hours.,1,0,0,0,0
Walmart Gift Card Winner,You have been randomly selected to receive a $500 Walmart gift card! Claim your prize within 24 hours before it expires.,1,0,0,0,0
Zoom Meeting Recording Available,Your recorded Zoom meeting from yesterday is ready for download. Click here to access the recording before it expires in 24 hours.,1,1,0,0,0
DocuSign Document Requires Signature,An important document is waiting for your signature. This document will expire if not signed within 24 hours. Review and sign now.,1,0,0,0,0
Venmo Payment Received - Verify,You have received $850 on Venmo from an unknown sender. Verify your identity to claim this payment before it is returned.,1,0,0,0,0
Steam Account Hacked Warning,Your Steam account shows signs of unauthorized access. Multiple login attempts detected. Secure your account immediately.,1,0,0,0,0
Costco Customer Survey Reward,Complete our 2-minute customer satisfaction survey and receive a $50 Costco reward. Limited time offer expires today.,1,0,0,0,0
FedEx Shipment On Hold,Your FedEx international package requires customs payment of $5.50. Pay now to release your shipment from customs hold.,1,0,0,0,0
Twitter Blue Free Trial,Claim your exclusive free Twitter Blue trial. Limited spots available. This offer expires in 12 hours.,1,0,0,0,0
Best Buy Order Cancelled,Your Best Buy order #88745 for MacBook Pro was cancelled. If this is an error click here to restore your order immediately.,1,0,0,0,0
AT&T Bill Payment Failed,Your AT&T wireless bill payment has failed. Your service will be suspended within 24 hours unless payment is received.,1,0,0,0,0
Crypto Wallet Security Alert,Someone accessed your cryptocurrency wallet from an unknown device in Russia. Secure your assets immediately.,1,0,0,0,0
